,gameId,blueWins,wardsPlaced,wardsDestroyed,kills,deaths,assists,eliteMonsters,dragonsTaken,heraldsTaken,towersLost,totalGold,avgLevel,totalExperience,totalMinionsKilled,totalJungleMinionsKilled,goldDiff,experienceDiff,csPerMin,goldPerMin,losingTeamWardsPlaced,losingTeamWardsDestroyed,losingTeamFirstBlood,redKills,redDeaths,losingTeamAssits,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,losingTeamTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,losingTeamGoldPerMin,blueKills,blueDeaths,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,redFirstBlood,teamWon
906,4521934653,1,15,1,9,7,12,0,0,0,0,17704,7.0,18183,196,68,639,1171,19.6,1770.4,15,1,0.0,7.0,9.0,10,0.0,0.0,0.0,0.0,17065.0,6.4,17012.0,208.0,39,-639.0,-1171.0,20.8,1706.5,,,,,,,,,,,,,,,blue
910,4519564214,1,14,1,11,8,12,0,0,0,0,18156,7.2,18548,208,52,957,469,20.8,1815.6,34,4,0.0,8.0,11.0,5,2.0,1.0,1.0,0.0,17199.0,6.8,18079.0,218.0,52,-957.0,-469.0,21.8,1719.9,,,,,,,,,,,,,,,blue
911,4520320166,1,18,4,12,9,9,0,0,0,0,19397,7.0,19301,232,44,2287,2551,23.2,1939.7,12,8,1.0,9.0,12.0,4,0.0,0.0,0.0,0.0,17110.0,6.6,16750.0,184.0,52,-2287.0,-2551.0,18.4,1711.0,,,,,,,,,,,,,,,blue
913,4519790060,1,25,0,11,10,7,1,1,0,0,19061,7.2,19093,236,50,1362,1592,23.6,1906.1,86,0,1.0,10.0,11.0,11,0.0,0.0,0.0,0.0,17699.0,6.8,17501.0,191.0,46,-1362.0,-1592.0,19.1,1769.9,,,,,,,,,,,,,,,blue
914,4456330802,1,21,2,7,6,3,1,0,1,0,16653,7.4,19603,229,72,140,1737,22.9,1665.3,130,1,1.0,6.0,7.0,5,0.0,0.0,0.0,0.0,16513.0,7.0,17866.0,229.0,31,-140.0,-1737.0,22.9,1651.3,,,,,,,,,,,,,,,blue
915,4524273849,1,11,2,5,8,5,1,1,0,0,16781,6.6,17452,237,50,633,-295,23.7,1678.1,16,2,0.0,8.0,5.0,13,0.0,0.0,0.0,0.0,16148.0,6.8,17747.0,180.0,44,-633.0,295.0,18.0,1614.8,,,,,,,,,,,,,,,blue
917,4494869975,1,14,0,3,6,3,0,0,0,0,15859,7.0,19145,241,72,-1296,227,24.1,1585.9,13,5,1.0,6.0,3.0,7,1.0,1.0,0.0,0.0,17155.0,7.2,18918.0,257.0,40,1296.0,-227.0,25.7,1715.5,,,,,,,,,,,,,,,blue
918,4424078266,1,15,1,6,14,6,0,0,0,0,16205,6.4,16887,196,56,-3622,-1908,19.6,1620.5,15,1,1.0,14.0,6.0,16,2.0,1.0,1.0,0.0,19827.0,7.0,18795.0,224.0,40,3622.0,1908.0,22.4,1982.7,,,,,,,,,,,,,,,blue
919,4490705012,1,15,2,10,10,11,0,0,0,0,17528,6.8,17194,197,34,-541,546,19.7,1752.8,15,4,1.0,10.0,10.0,11,1.0,1.0,0.0,0.0,18069.0,6.6,16648.0,223.0,36,541.0,-546.0,22.3,1806.9,,,,,,,,,,,,,,,blue
920,4523350637,1,53,2,8,6,9,0,0,0,0,17154,7.0,18697,202,55,1933,2792,20.2,1715.4,17,3,0.0,6.0,8.0,6,0.0,0.0,0.0,0.0,15221.0,6.6,15905.0,174.0,44,-1933.0,-2792.0,17.4,1522.1,,,,,,,,,,,,,,,blue
923,4520769690,1,43,2,6,4,10,1,0,1,0,18369,7.4,20686,276,68,2334,1835,27.6,1836.9,13,17,0.0,4.0,6.0,2,1.0,1.0,0.0,0.0,16035.0,7.2,18851.0,249.0,68,-2334.0,-1835.0,24.9,1603.5,,,,,,,,,,,,,,,blue
924,4521194399,1,16,6,5,7,4,0,0,0,0,16097,6.8,17793,243,52,-143,462,24.3,1609.7,19,3,0.0,7.0,5.0,8,0.0,0.0,0.0,0.0,16240.0,6.6,17331.0,198.0,48,143.0,-462.0,19.8,1624.0,,,,,,,,,,,,,,,blue
927,4519232603,1,15,4,11,6,21,1,1,0,0,17597,6.8,17045,190,50,2534,2539,19.0,1759.7,12,1,0.0,6.0,11.0,5,0.0,0.0,0.0,0.0,15063.0,6.2,14506.0,188.0,32,-2534.0,-2539.0,18.8,1506.3,,,,,,,,,,,,,,,blue
930,4520335099,1,19,2,3,3,2,2,1,1,0,15000,7.0,17972,229,52,198,726,22.9,1500.0,17,4,1.0,3.0,3.0,3,0.0,0.0,0.0,0.0,14802.0,6.8,17246.0,220.0,40,-198.0,-726.0,22.0,1480.2,,,,,,,,,,,,,,,blue
931,4460509130,1,17,1,9,9,7,0,0,0,0,18426,7.6,20198,240,63,380,-674,24.0,1842.6,39,4,1.0,9.0,9.0,6,1.0,1.0,0.0,0.0,18046.0,7.6,20872.0,211.0,64,-380.0,674.0,21.1,1804.6,,,,,,,,,,,,,,,blue
932,4494350446,1,16,1,8,4,7,2,1,1,0,17634,7.0,19000,242,46,2018,2261,24.2,1763.4,31,1,0.0,4.0,8.0,2,0.0,0.0,0.0,0.0,15616.0,6.6,16739.0,233.0,50,-2018.0,-2261.0,23.3,1561.6,,,,,,,,,,,,,,,blue
933,4485746291,1,19,4,11,1,13,1,0,1,1,20251,7.4,20985,263,61,6942,6381,26.3,2025.1,19,6,1.0,1.0,11.0,1,1.0,1.0,0.0,0.0,13309.0,6.2,14604.0,186.0,42,-6942.0,-6381.0,18.6,1330.9,,,,,,,,,,,,,,,blue
939,4463063111,1,38,7,2,2,1,0,0,0,0,15782,6.8,18460,253,66,1344,1195,25.3,1578.2,62,2,1.0,2.0,2.0,1,0.0,0.0,0.0,0.0,14438.0,6.8,17265.0,236.0,52,-1344.0,-1195.0,23.6,1443.8,,,,,,,,,,,,,,,blue
940,4517535335,1,27,9,6,5,6,1,1,0,0,16893,7.0,18950,238,64,568,1096,23.8,1689.3,43,8,1.0,5.0,6.0,6,0.0,0.0,0.0,0.0,16325.0,7.0,17854.0,231.0,48,-568.0,-1096.0,23.1,1632.5,,,,,,,,,,,,,,,blue
943,4498040102,1,21,1,13,4,14,1,1,0,0,18722,6.8,18343,187,46,3593,727,18.7,1872.2,33,5,0.0,4.0,13.0,6,0.0,0.0,0.0,0.0,15129.0,6.8,17616.0,209.0,49,-3593.0,-727.0,20.9,1512.9,,,,,,,,,,,,,,,blue
944,4466272322,1,15,4,6,3,8,1,1,0,1,18247,7.0,18839,235,59,3400,2400,23.5,1824.7,39,1,0.0,3.0,6.0,3,1.0,0.0,1.0,0.0,14847.0,6.6,16439.0,209.0,48,-3400.0,-2400.0,20.9,1484.7,,,,,,,,,,,,,,,blue
946,4516594207,1,16,6,7,6,4,0,0,0,0,17641,7.2,19312,237,50,1496,1352,23.7,1764.1,18,2,1.0,6.0,7.0,4,1.0,1.0,0.0,0.0,16145.0,7.0,17960.0,214.0,43,-1496.0,-1352.0,21.4,1614.5,,,,,,,,,,,,,,,blue
948,4524924917,1,14,2,6,3,4,0,0,0,0,16249,6.6,17860,224,41,675,377,22.4,1624.9,14,2,0.0,3.0,6.0,4,1.0,1.0,0.0,0.0,15574.0,7.0,17483.0,220.0,56,-675.0,-377.0,22.0,1557.4,,,,,,,,,,,,,,,blue
950,4461136941,1,14,6,4,5,5,0,0,0,0,15165,6.8,17251,218,49,-1286,-1695,21.8,1516.5,14,4,0.0,5.0,4.0,5,1.0,1.0,0.0,0.0,16451.0,7.2,18946.0,244.0,52,1286.0,1695.0,24.4,1645.1,,,,,,,,,,,,,,,blue
952,4501108199,1,15,1,10,5,10,0,0,0,0,17878,7.0,18248,214,52,2301,603,21.4,1787.8,37,1,0.0,5.0,10.0,5,0.0,0.0,0.0,0.0,15577.0,6.8,17645.0,203.0,44,-2301.0,-603.0,20.3,1557.7,,,,,,,,,,,,,,,blue
954,4524568896,1,18,6,5,7,9,0,0,0,0,15851,7.0,19296,215,61,-1341,445,21.5,1585.1,19,6,1.0,7.0,5.0,6,1.0,1.0,0.0,0.0,17192.0,7.0,18851.0,237.0,38,1341.0,-445.0,23.7,1719.2,,,,,,,,,,,,,,,blue
958,4459817582,1,19,5,11,6,12,0,0,0,0,18354,6.8,17746,207,39,1775,-5,20.7,1835.4,37,5,0.0,6.0,11.0,3,0.0,0.0,0.0,0.0,16579.0,6.8,17751.0,208.0,54,-1775.0,5.0,20.8,1657.9,,,,,,,,,,,,,,,blue
961,4522319938,1,44,3,13,12,17,1,1,0,0,20175,7.4,20673,215,72,1610,2488,21.5,2017.5,14,14,1.0,12.0,13.0,13,0.0,0.0,0.0,0.0,18565.0,6.8,18185.0,212.0,36,-1610.0,-2488.0,21.2,1856.5,,,,,,,,,,,,,,,blue
963,4523566320,1,87,4,4,9,4,1,0,1,0,16074,7.0,18077,237,55,-855,227,23.7,1607.4,31,5,0.0,9.0,4.0,10,1.0,1.0,0.0,0.0,16929.0,7.0,17850.0,211.0,48,855.0,-227.0,21.1,1692.9,,,,,,,,,,,,,,,blue
964,4520933584,1,17,6,7,3,7,0,0,0,0,16849,7.0,18439,231,44,1991,1977,23.1,1684.9,16,3,1.0,3.0,7.0,3,1.0,1.0,0.0,0.0,14858.0,6.4,16462.0,223.0,49,-1991.0,-1977.0,22.3,1485.8,,,,,,,,,,,,,,,blue
967,4524877536,1,13,4,7,8,6,1,1,0,0,17002,7.0,17795,221,51,-154,-612,22.1,1700.2,19,4,1.0,8.0,7.0,4,1.0,0.0,1.0,0.0,17156.0,7.0,18407.0,225.0,48,154.0,612.0,22.5,1715.6,,,,,,,,,,,,,,,blue
970,4502625560,1,14,2,8,7,7,1,1,0,0,17472,7.2,18967,224,52,1177,763,22.4,1747.2,14,2,0.0,7.0,8.0,7,0.0,0.0,0.0,0.0,16295.0,7.2,18204.0,183.0,68,-1177.0,-763.0,18.3,1629.5,,,,,,,,,,,,,,,blue
971,4521238149,1,18,6,3,2,1,0,0,0,0,15681,7.0,19274,231,52,919,1527,23.1,1568.1,53,7,1.0,2.0,3.0,2,1.0,1.0,0.0,0.0,14762.0,7.0,17747.0,230.0,58,-919.0,-1527.0,23.0,1476.2,,,,,,,,,,,,,,,blue
972,4513598574,1,14,1,8,6,7,0,0,0,0,18634,7.0,19500,239,56,2077,1804,23.9,1863.4,17,3,0.0,6.0,8.0,12,1.0,1.0,0.0,0.0,16557.0,6.8,17696.0,196.0,71,-2077.0,-1804.0,19.6,1655.7,,,,,,,,,,,,,,,blue
975,4482124456,1,17,2,9,10,16,1,1,0,0,17308,6.8,16748,203,50,-999,-1466,20.3,1730.8,18,2,0.0,10.0,9.0,13,1.0,0.0,1.0,0.0,18307.0,7.2,18214.0,212.0,48,999.0,1466.0,21.2,1830.7,,,,,,,,,,,,,,,blue
977,4524994987,1,18,0,14,4,15,0,0,0,0,20075,7.0,18552,220,53,5853,3870,22.0,2007.5,15,0,0.0,4.0,14.0,6,0.0,0.0,0.0,0.0,14222.0,6.2,14682.0,179.0,36,-5853.0,-3870.0,17.9,1422.2,,,,,,,,,,,,,,,blue
979,4522531124,1,22,4,9,3,9,0,0,0,0,17270,6.6,17435,213,43,2318,1656,21.3,1727.0,17,6,0.0,3.0,9.0,3,0.0,0.0,0.0,0.0,14952.0,6.6,15779.0,220.0,44,-2318.0,-1656.0,22.0,1495.2,,,,,,,,,,,,,,,blue
980,4498726341,1,18,3,12,5,6,0,0,0,0,18967,7.6,19855,240,48,3595,2595,24.0,1896.7,13,1,0.0,5.0,12.0,3,1.0,1.0,0.0,0.0,15372.0,6.8,17260.0,217.0,56,-3595.0,-2595.0,21.7,1537.2,,,,,,,,,,,,,,,blue
983,4502024676,1,11,0,8,13,5,0,0,0,0,17846,6.8,18045,198,51,-796,-594,19.8,1784.6,15,2,0.0,13.0,8.0,12,0.0,0.0,0.0,0.0,18642.0,7.2,18639.0,194.0,50,796.0,594.0,19.4,1864.2,,,,,,,,,,,,,,,blue
984,4494811413,1,14,3,12,6,17,2,1,1,1,19993,7.0,17656,203,34,3439,913,20.3,1999.3,12,2,0.0,6.0,12.0,8,0.0,0.0,0.0,0.0,16554.0,6.8,16743.0,209.0,68,-3439.0,-913.0,20.9,1655.4,,,,,,,,,,,,,,,blue
987,4492904211,1,15,2,3,3,3,2,1,1,0,15284,7.2,18267,245,51,-884,-471,24.5,1528.4,17,1,0.0,3.0,3.0,2,0.0,0.0,0.0,0.0,16168.0,7.2,18738.0,227.0,71,884.0,471.0,22.7,1616.8,,,,,,,,,,,,,,,blue
990,4496611472,1,14,3,7,2,7,1,0,1,0,17206,7.4,20071,248,66,2893,3588,24.8,1720.6,12,1,0.0,2.0,7.0,4,1.0,1.0,0.0,0.0,14313.0,6.6,16483.0,218.0,56,-2893.0,-3588.0,21.8,1431.3,,,,,,,,,,,,,,,blue
991,4466270705,1,15,1,2,4,3,0,0,0,0,14767,7.2,18018,236,58,-976,-1408,23.6,1476.7,29,0,0.0,4.0,2.0,4,1.0,0.0,1.0,0.0,15743.0,7.2,19426.0,215.0,59,976.0,1408.0,21.5,1574.3,,,,,,,,,,,,,,,blue
992,4489674580,1,14,0,12,7,13,0,0,0,0,18291,7.2,18548,176,53,2182,1012,17.6,1829.1,13,2,0.0,7.0,12.0,4,0.0,0.0,0.0,0.0,16109.0,6.8,17536.0,210.0,48,-2182.0,-1012.0,21.0,1610.9,,,,,,,,,,,,,,,blue
994,4512229508,1,20,1,7,9,6,0,0,0,0,17214,7.0,18251,231,49,-1806,123,23.1,1721.4,23,6,1.0,9.0,7.0,13,1.0,1.0,0.0,1.0,19020.0,7.0,18128.0,204.0,54,1806.0,-123.0,20.4,1902.0,,,,,,,,,,,,,,,blue
996,4487211504,1,22,1,3,5,2,0,0,0,0,14027,6.6,16596,219,32,-2105,-1815,21.9,1402.7,19,4,1.0,5.0,3.0,4,0.0,0.0,0.0,0.0,16132.0,7.0,18411.0,261.0,44,2105.0,1815.0,26.1,1613.2,,,,,,,,,,,,,,,blue
997,4490245782,1,16,0,7,5,6,0,0,0,0,17432,7.4,19324,224,56,993,593,22.4,1743.2,57,2,1.0,5.0,7.0,11,0.0,0.0,0.0,0.0,16439.0,7.4,18731.0,209.0,52,-993.0,-593.0,20.9,1643.9,,,,,,,,,,,,,,,blue
998,4519269898,1,16,1,6,8,5,0,0,0,0,15969,6.8,17938,231,40,-809,10,23.1,1596.9,10,2,0.0,8.0,6.0,8,0.0,0.0,0.0,0.0,16778.0,6.6,17928.0,216.0,35,809.0,-10.0,21.6,1677.8,,,,,,,,,,,,,,,blue
1001,4515619374,1,15,2,6,4,4,2,1,1,0,16044,7.2,19133,214,48,-100,-1205,21.4,1604.4,15,4,0.0,4.0,6.0,2,0.0,0.0,0.0,0.0,16144.0,7.6,20338.0,234.0,75,100.0,1205.0,23.4,1614.4,,,,,,,,,,,,,,,blue
1006,4496660905,1,16,1,9,4,14,1,1,0,0,17759,7.0,18824,228,48,3082,3200,22.8,1775.9,15,1,0.0,4.0,9.0,4,1.0,0.0,1.0,0.0,14677.0,6.2,15624.0,168.0,44,-3082.0,-3200.0,16.8,1467.7,,,,,,,,,,,,,,,blue
1010,4523295777,1,41,3,8,7,6,2,1,1,0,17287,7.0,18953,215,62,817,266,21.5,1728.7,18,4,0.0,7.0,8.0,7,0.0,0.0,0.0,0.0,16470.0,7.2,18687.0,218.0,56,-817.0,-266.0,21.8,1647.0,,,,,,,,,,,,,,,blue
1011,4450437970,1,35,0,6,4,4,2,1,1,0,15997,7.2,19158,195,60,499,2441,19.5,1599.7,21,1,0.0,4.0,6.0,4,0.0,0.0,0.0,0.0,15498.0,6.6,16717.0,210.0,41,-499.0,-2441.0,21.0,1549.8,,,,,,,,,,,,,,,blue
1012,4523307860,1,14,3,3,3,4,0,0,0,0,15387,7.0,18342,215,64,-923,-1234,21.5,1538.7,15,4,0.0,3.0,3.0,5,1.0,1.0,0.0,0.0,16310.0,7.4,19576.0,232.0,72,923.0,1234.0,23.2,1631.0,,,,,,,,,,,,,,,blue
1013,4522150564,1,18,2,5,8,6,1,1,0,0,16313,7.0,17908,211,60,-531,241,21.1,1631.3,14,3,1.0,8.0,5.0,4,1.0,0.0,1.0,0.0,16844.0,6.8,17667.0,205.0,48,531.0,-241.0,20.5,1684.4,,,,,,,,,,,,,,,blue
1015,4504983497,1,15,3,7,8,9,0,0,0,0,16304,6.4,16307,169,44,-2336,-1468,16.9,1630.4,13,0,1.0,8.0,7.0,9,1.0,0.0,1.0,2.0,18640.0,7.0,17775.0,211.0,42,2336.0,1468.0,21.1,1864.0,,,,,,,,,,,,,,,blue
1016,4459886824,1,11,3,10,12,11,1,0,1,0,18177,6.8,17640,203,40,-1253,-1627,20.3,1817.7,18,1,0.0,12.0,10.0,15,1.0,1.0,0.0,0.0,19430.0,7.2,19267.0,235.0,42,1253.0,1627.0,23.5,1943.0,,,,,,,,,,,,,,,blue
1017,4473361306,1,19,1,7,4,6,1,1,0,0,17493,7.0,18552,240,56,2851,1313,24.0,1749.3,11,2,1.0,4.0,7.0,4,0.0,0.0,0.0,0.0,14642.0,6.8,17239.0,198.0,54,-2851.0,-1313.0,19.8,1464.2,,,,,,,,,,,,,,,blue
1018,4506292782,1,13,0,12,3,16,1,1,0,0,19443,7.2,19743,254,48,5349,4131,25.4,1944.3,17,2,0.0,3.0,12.0,3,0.0,0.0,0.0,0.0,14094.0,6.6,15612.0,190.0,48,-5349.0,-4131.0,19.0,1409.4,,,,,,,,,,,,,,,blue
1021,4518452503,1,16,3,9,5,10,1,1,0,0,16819,6.8,17163,197,40,459,-1147,19.7,1681.9,13,4,0.0,5.0,9.0,3,1.0,0.0,1.0,0.0,16360.0,6.8,18310.0,235.0,57,-459.0,1147.0,23.5,1636.0,,,,,,,,,,,,,,,blue
1022,4496336635,1,35,2,3,6,5,0,0,0,0,14703,6.8,16970,198,36,-2127,-1619,19.8,1470.3,18,2,0.0,6.0,3.0,10,1.0,1.0,0.0,0.0,16830.0,7.0,18589.0,233.0,55,2127.0,1619.0,23.3,1683.0,,,,,,,,,,,,,,,blue
1023,4523885762,1,15,0,7,5,5,0,0,0,0,16801,7.4,18747,203,64,575,706,20.3,1680.1,15,3,0.0,5.0,7.0,7,1.0,1.0,0.0,0.0,16226.0,7.0,18041.0,214.0,48,-575.0,-706.0,21.4,1622.6,,,,,,,,,,,,,,,blue
1025,4524349618,1,75,3,4,6,4,1,1,0,0,15478,6.8,18212,204,60,-2375,-293,20.4,1547.8,16,1,1.0,6.0,4.0,4,0.0,0.0,0.0,1.0,17853.0,7.0,18505.0,236.0,48,2375.0,293.0,23.6,1785.3,,,,,,,,,,,,,,,blue
1026,4525122306,1,21,1,5,10,4,0,0,0,0,15363,6.4,16498,206,45,-2623,-2312,20.6,1536.3,14,4,1.0,10.0,5.0,16,1.0,0.0,1.0,0.0,17986.0,7.0,18810.0,226.0,33,2623.0,2312.0,22.6,1798.6,,,,,,,,,,,,,,,blue
1027,4477398725,1,16,3,9,8,12,0,0,0,0,17121,6.6,16462,212,36,217,434,21.2,1712.1,16,1,0.0,8.0,9.0,9,1.0,0.0,1.0,0.0,16904.0,6.4,16028.0,173.0,35,-217.0,-434.0,17.3,1690.4,,,,,,,,,,,,,,,blue
1032,4498209347,1,29,2,3,3,2,2,1,1,0,15661,7.0,18396,225,64,-643,-1199,22.5,1566.1,15,3,0.0,3.0,3.0,5,0.0,0.0,0.0,0.0,16304.0,7.2,19595.0,256.0,71,643.0,1199.0,25.6,1630.4,,,,,,,,,,,,,,,blue
1033,4520713335,1,13,1,6,5,5,0,0,0,0,16789,7.0,17947,198,57,1206,968,19.8,1678.9,32,1,0.0,5.0,6.0,5,0.0,0.0,0.0,0.0,15583.0,6.6,16979.0,192.0,36,-1206.0,-968.0,19.2,1558.3,,,,,,,,,,,,,,,blue
1041,4437310963,1,15,4,4,6,5,0,0,0,0,15585,6.8,17392,227,46,-797,-843,22.7,1558.5,17,1,0.0,6.0,4.0,7,0.0,0.0,0.0,0.0,16382.0,7.0,18235.0,241.0,40,797.0,843.0,24.1,1638.2,,,,,,,,,,,,,,,blue
1051,4485610478,1,14,5,5,9,8,0,0,0,0,14927,6.6,15638,196,25,-2614,-1880,19.6,1492.7,17,3,0.0,9.0,5.0,16,1.0,1.0,0.0,0.0,17541.0,6.8,17518.0,214.0,47,2614.0,1880.0,21.4,1754.1,,,,,,,,,,,,,,,blue
1052,4472446718,1,15,2,2,3,0,1,0,1,1,16875,6.8,18159,247,56,2231,223,24.7,1687.5,18,0,0.0,3.0,2.0,3,1.0,1.0,0.0,0.0,14644.0,6.8,17936.0,190.0,76,-2231.0,-223.0,19.0,1464.4,,,,,,,,,,,,,,,blue
1054,4469128584,1,87,2,6,6,9,0,0,0,0,16369,7.0,18278,201,40,311,-50,20.1,1636.9,13,3,0.0,6.0,6.0,5,0.0,0.0,0.0,0.0,16058.0,7.2,18328.0,216.0,52,-311.0,50.0,21.6,1605.8,,,,,,,,,,,,,,,blue
1055,4452166670,1,15,2,4,1,7,2,1,1,0,17320,7.4,18965,264,75,2850,1646,26.4,1732.0,47,0,0.0,1.0,4.0,0,0.0,0.0,0.0,0.0,14470.0,6.8,17319.0,248.0,45,-2850.0,-1646.0,24.8,1447.0,,,,,,,,,,,,,,,blue
1056,4524202231,1,14,2,9,4,6,1,1,0,0,18532,7.4,20134,231,55,3195,1370,23.1,1853.2,124,2,0.0,4.0,9.0,1,0.0,0.0,0.0,0.0,15337.0,7.2,18764.0,223.0,64,-3195.0,-1370.0,22.3,1533.7,,,,,,,,,,,,,,,blue
1061,4469812384,1,16,7,4,5,5,0,0,0,0,14707,6.6,16234,213,36,-2268,-2502,21.3,1470.7,22,4,0.0,5.0,4.0,5,1.0,1.0,0.0,0.0,16975.0,7.2,18736.0,254.0,62,2268.0,2502.0,25.4,1697.5,,,,,,,,,,,,,,,blue
1064,4508899687,1,16,3,3,3,1,0,0,0,0,15379,7.0,17670,232,48,236,-37,23.2,1537.9,16,6,1.0,3.0,3.0,5,1.0,1.0,0.0,0.0,15143.0,6.8,17707.0,217.0,52,-236.0,37.0,21.7,1514.3,,,,,,,,,,,,,,,blue
1065,4521616991,1,23,3,5,1,6,1,1,0,0,17196,7.2,19002,239,64,2973,1440,23.9,1719.6,17,7,0.0,1.0,5.0,2,0.0,0.0,0.0,0.0,14223.0,6.8,17562.0,239.0,48,-2973.0,-1440.0,23.9,1422.3,,,,,,,,,,,,,,,blue
1066,4509711649,1,18,7,7,1,4,1,1,0,0,17200,7.2,19346,234,60,2977,3051,23.4,1720.0,16,3,0.0,1.0,7.0,1,0.0,0.0,0.0,0.0,14223.0,6.6,16295.0,211.0,72,-2977.0,-3051.0,21.1,1422.3,,,,,,,,,,,,,,,blue
1069,4478188896,1,20,2,6,4,5,1,1,0,0,16588,7.2,19189,229,62,1782,1959,22.9,1658.8,17,2,0.0,4.0,6.0,1,1.0,0.0,1.0,0.0,14806.0,6.8,17230.0,189.0,44,-1782.0,-1959.0,18.9,1480.6,,,,,,,,,,,,,,,blue
1070,4513831840,1,16,1,6,6,7,0,0,0,0,16784,7.0,17848,228,40,941,129,22.8,1678.4,16,1,0.0,6.0,6.0,4,0.0,0.0,0.0,0.0,15843.0,6.8,17719.0,176.0,55,-941.0,-129.0,17.6,1584.3,,,,,,,,,,,,,,,blue
1071,4462163208,1,43,1,9,8,11,1,1,0,0,16982,7.0,18420,191,44,-1346,-1607,19.1,1698.2,15,0,1.0,8.0,9.0,7,0.0,0.0,0.0,0.0,18328.0,7.4,20027.0,212.0,76,1346.0,1607.0,21.2,1832.8,,,,,,,,,,,,,,,blue
1072,4514218237,1,17,5,9,13,11,0,0,0,0,17635,6.6,16554,175,42,-1430,-2349,17.5,1763.5,12,4,0.0,13.0,9.0,13,1.0,1.0,0.0,0.0,19065.0,7.2,18903.0,219.0,53,1430.0,2349.0,21.9,1906.5,,,,,,,,,,,,,,,blue
1076,4472696992,1,19,2,5,5,5,0,0,0,0,16853,7.2,18782,233,48,213,-583,23.3,1685.3,33,2,1.0,5.0,5.0,2,0.0,0.0,0.0,0.0,16640.0,7.0,19365.0,249.0,57,-213.0,583.0,24.9,1664.0,,,,,,,,,,,,,,,blue
1077,4497596162,1,15,1,12,2,14,1,0,1,0,18242,7.0,17997,195,58,4484,2878,19.5,1824.2,18,3,0.0,2.0,12.0,1,0.0,0.0,0.0,0.0,13758.0,6.2,15119.0,199.0,32,-4484.0,-2878.0,19.9,1375.8,,,,,,,,,,,,,,,blue
1078,4486956653,1,24,5,7,7,8,0,0,0,0,16866,6.8,17575,194,54,-1543,-523,19.4,1686.6,16,1,0.0,7.0,7.0,7,1.0,0.0,1.0,1.0,18409.0,7.0,18098.0,207.0,48,1543.0,523.0,20.7,1840.9,,,,,,,,,,,,,,,blue
1080,4472747889,1,73,1,4,5,4,0,0,0,0,15463,6.8,17936,215,45,-338,-9,21.5,1546.3,14,4,0.0,5.0,4.0,6,1.0,1.0,0.0,0.0,15801.0,7.2,17945.0,217.0,58,338.0,9.0,21.7,1580.1,,,,,,,,,,,,,,,blue
1081,4525215598,1,57,3,6,9,6,1,1,0,0,15824,6.6,16324,210,41,-2047,-2330,21.0,1582.4,19,3,1.0,9.0,6.0,8,1.0,0.0,1.0,0.0,17871.0,6.8,18654.0,205.0,64,2047.0,2330.0,20.5,1787.1,,,,,,,,,,,,,,,blue
1082,4524641094,1,37,3,8,5,13,0,0,0,0,17129,6.8,17579,227,32,1192,449,22.7,1712.9,15,3,1.0,5.0,8.0,7,0.0,0.0,0.0,0.0,15937.0,6.8,17130.0,225.0,48,-1192.0,-449.0,22.5,1593.7,,,,,,,,,,,,,,,blue
1083,4471001241,1,19,5,6,3,4,0,0,0,0,16335,6.8,17761,236,33,1167,489,23.6,1633.5,87,2,1.0,3.0,6.0,1,1.0,1.0,0.0,0.0,15168.0,6.8,17272.0,206.0,52,-1167.0,-489.0,20.6,1516.8,,,,,,,,,,,,,,,blue
1085,4476146291,1,88,2,10,2,6,1,1,0,0,19077,7.6,20483,234,52,5271,3997,23.4,1907.7,15,1,0.0,2.0,10.0,2,0.0,0.0,0.0,0.0,13806.0,6.6,16486.0,191.0,48,-5271.0,-3997.0,19.1,1380.6,,,,,,,,,,,,,,,blue
1086,4503152696,1,12,0,1,7,0,0,0,0,0,14983,6.8,17958,271,60,-1607,-1043,27.1,1498.3,12,1,1.0,7.0,1.0,10,1.0,1.0,0.0,0.0,16590.0,7.0,19001.0,212.0,54,1607.0,1043.0,21.2,1659.0,,,,,,,,,,,,,,,blue
1087,4524326952,1,19,0,9,6,9,0,0,0,0,17368,6.8,18134,219,40,280,-1018,21.9,1736.8,15,3,1.0,6.0,9.0,8,0.0,0.0,0.0,0.0,17088.0,7.2,19152.0,227.0,59,-280.0,1018.0,22.7,1708.8,,,,,,,,,,,,,,,blue
1090,4477368808,1,14,3,5,4,9,2,1,1,0,16364,7.4,19838,245,60,409,1681,24.5,1636.4,13,4,1.0,4.0,5.0,3,0.0,0.0,0.0,0.0,15955.0,6.8,18157.0,229.0,60,-409.0,-1681.0,22.9,1595.5,,,,,,,,,,,,,,,blue
1092,4523746056,1,84,3,10,5,12,0,0,0,1,19938,7.0,18437,222,44,4534,1707,22.2,1993.8,14,1,0.0,5.0,10.0,4,1.0,1.0,0.0,0.0,15404.0,6.6,16730.0,214.0,52,-4534.0,-1707.0,21.4,1540.4,,,,,,,,,,,,,,,blue
